Country,coicop,Month,Inflation_Rate
DE,CP00,2020-01,123.0
FR,CP00,2020-01,121.71
NL,CP00,2020-01,122.52
UK,CP00,2020-01,138.5
DE,CP00,2020-01,105.1
FR,CP00,2020-01,105.24
NL,CP00,2020-01,104.85
UK,CP00,2020-01,108.2
DE,CP00,2020-01,138.8
FR,CP00,2020-01,140.4
NL,CP00,2020-01,152.3
UK,CP00,2020-01,157.2
DE,CP00,2020-02,123.7
FR,CP00,2020-02,121.74
NL,CP00,2020-02,123.6
UK,CP00,2020-02,139.1
DE,CP00,2020-02,105.7
FR,CP00,2020-02,105.27
NL,CP00,2020-02,105.77
UK,CP00,2020-02,108.6
DE,CP00,2020-02,139.6
FR,CP00,2020-02,140.5
NL,CP00,2020-02,153.7
UK,CP00,2020-02,157.9
DE,CP00,2020-03,123.8
FR,CP00,2020-03,121.83
NL,CP00,2020-03,123.97
UK,CP00,2020-03,139.1
DE,CP00,2020-03,105.8
FR,CP00,2020-03,105.34
NL,CP00,2020-03,106.09
UK,CP00,2020-03,108.6
DE,CP00,2020-03,139.7
FR,CP00,2020-03,140.6
NL,CP00,2020-03,154.1
UK,CP00,2020-03,157.9
DE,CP00,2020-04,124.3
FR,CP00,2020-04,121.8
NL,CP00,2020-04,125.2
UK,CP00,2020-04,138.9
DE,CP00,2020-04,106.2
FR,CP00,2020-04,105.32
NL,CP00,2020-04,107.14
UK,CP00,2020-04,108.5
DE,CP00,2020-04,140.3
FR,CP00,2020-04,140.6
NL,CP00,2020-04,155.7
UK,CP00,2020-04,157.6
DE,CP00,2020-05,124.2
FR,CP00,2020-05,121.99
NL,CP00,2020-05,124.97
UK,CP00,2020-05,138.9
DE,CP00,2020-05,106.2
FR,CP00,2020-05,105.49
NL,CP00,2020-05,106.94
UK,CP00,2020-05,108.5
DE,CP00,2020-05,140.2
FR,CP00,2020-05,140.8
NL,CP00,2020-05,155.4
UK,CP00,2020-05,157.6
DE,CP00,2020-06,125.1
FR,CP00,2020-06,122.1
NL,CP00,2020-06,125.56
UK,CP00,2020-06,139.0
DE,CP00,2020-06,106.9
FR,CP00,2020-06,105.58
NL,CP00,2020-06,107.45
UK,CP00,2020-06,108.6
DE,CP00,2020-06,141.1
FR,CP00,2020-06,140.9
NL,CP00,2020-06,156.1
UK,CP00,2020-06,157.8
DE,CP00,2020-07,124.5
